,Country Name,Country Code,Indicator Name,Indicator Code,year,value
0,France,FRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
1,France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,1960,1334.6900560000001
2,France,FRA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,1960,7703448807.0
3,France,FRA,Land area (sq. km),AG.LND.TOTL.K2,1960,
4,France,FRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1960,69.86829268
5,France,FRA,Population growth (annual %),SP.POP.GROW,1960,
6,France,FRA,Population in largest city,EN.URB.LCTY,1960,7410735.0
7,France,FRA,"Population, total",SP.POP.TOTL,1960,46621669.0
8,France,FRA,"Primary education, duration (years)",SE.PRM.DURS,1960,
9,France,FRA,Progression to secondary school (%),SE.SEC.PROG.ZS,1960,
10,France,FRA,Rural population (% of total population),SP.RUR.TOTL.ZS,1960,38.12
11,Germany,DEU,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
12,Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,1960,
13,Germany,DEU,Imports of goods and services (current US$),NE.IMP.GNFS.CD,1960,
14,Germany,DEU,Land area (sq. km),AG.LND.TOTL.K2,1960,
15,Germany,DEU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1960,69.31002439
16,Germany,DEU,Population growth (annual %),SP.POP.GROW,1960,
17,Germany,DEU,Population in largest city,EN.URB.LCTY,1960,3259833.0
18,Germany,DEU,"Population, total",SP.POP.TOTL,1960,72814900.0
19,Germany,DEU,"Primary education, duration (years)",SE.PRM.DURS,1960,
20,Germany,DEU,Progression to secondary school (%),SE.SEC.PROG.ZS,1960,
21,Germany,DEU,Rural population (% of total population),SP.RUR.TOTL.ZS,1960,28.616
22,Italy,ITA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
23,Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,1960,804.4926232999999
24,Italy,ITA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,1960,
25,Italy,ITA,Land area (sq. km),AG.LND.TOTL.K2,1960,
26,Italy,ITA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1960,69.12390244
27,Italy,ITA,Population growth (annual %),SP.POP.GROW,1960,
28,Italy,ITA,Population in largest city,EN.URB.LCTY,1960,2455581.0
29,Italy,ITA,"Population, total",SP.POP.TOTL,1960,50199700.0
30,Italy,ITA,"Primary education, duration (years)",SE.PRM.DURS,1960,
31,Italy,ITA,Progression to secondary school (%),SE.SEC.PROG.ZS,1960,
32,Italy,ITA,Rural population (% of total population),SP.RUR.TOTL.ZS,1960,40.639
33,United Kingdom,GBR,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
34,United Kingdom,GBR,GDP per capita (current US$),NY.GDP.PCAP.CD,1960,1397.594803
35,United Kingdom,GBR,Imports of goods and services (current US$),NE.IMP.GNFS.CD,1960,
36,United Kingdom,GBR,Land area (sq. km),AG.LND.TOTL.K2,1960,
37,United Kingdom,GBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1960,71.12682927
38,United Kingdom,GBR,Population growth (annual %),SP.POP.GROW,1960,
39,United Kingdom,GBR,Population in largest city,EN.URB.LCTY,1960,8195769.0
40,United Kingdom,GBR,"Population, total",SP.POP.TOTL,1960,52400000.0
41,United Kingdom,GBR,"Primary education, duration (years)",SE.PRM.DURS,1960,
